data.source,base.categories,Level_1,Level_2,Level_3
ACLED,"""Al Shabaab"" Militia",armed group,violent political groups,violent groups
ACLED,"""Janjaweed"" Militia",armed group,violent political groups,violent groups
ACLED,"""Taliban"" Militia",armed group,violent political groups,violent groups
ACLED,101 Battalion (Tajoura),armed group,violent political groups,violent groups
ACLED,Aandonga Ethnic Militia (Namibia),armed group,violent political groups,violent groups
ACLED,Aasi Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,AAWU: Aggrieved Affiliates Workers Union,movements,nonviolent civilian groups,nonviolent groups
ACLED,Abacwamba Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Abahwebi baKwaMashu,unknown,unknown,violent groups
ACLED,Abairege Ethnic Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Abala Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Abanyabasi Ethnic Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Abbey Ethnic Militia (Ivory Coast),armed group,violent political groups,violent groups
ACLED,ABC: All Basotho Convention,political party,nonviolent political groups,nonviolent groups
ACLED,Abdalla Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abdalla-Agonyar Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abdalla-Arab Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abduwak Ethnic Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Abeche Communal Militia (Chad),armed group,violent political groups,violent groups
ACLED,Abgal Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Abdalla Arone Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Agonyar Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Daud Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Hawiye Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Kabale Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Mohamed Muse Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Reer Matan Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Wabudhan-Mohamed Muse Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abgal-Warsangeli Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abidji Ethnic Militia (Ivory Coast),armed group,violent political groups,violent groups
ACLED,Abim Communal Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Abras Communal Militia (Ivory Coast),armed group,violent political groups,violent groups
ACLED,Absame Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Abu Darak Clan Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Abu Obeida Brigade,armed group,violent political groups,violent groups
ACLED,Abu Raawi Brigade,armed group,violent political groups,violent groups
ACLED,Abu Salim Brigade,armed group,violent political groups,violent groups
ACLED,Abu Salim Martyrs Brigade,armed group,violent political groups,violent groups
ACLED,Abuok Communal Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,AC: Action Congress,political party,nonviolent political groups,nonviolent groups
ACLED,Achaba Riders Militia,armed group,violent political groups,violent groups
ACLED,Acholi Ethnic Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,Acholi Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,AD: Alliance for Democracy,political party,nonviolent political groups,nonviolent groups
ACLED,Adadama Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,ADC: Democratic Alliance of 23rd May for Change,armed group,violent political groups,violent groups
ACLED,ADECO: Alliance of Congolese Democrats,political party,nonviolent political groups,nonviolent groups
ACLED,Adema Liberation Army,armed group,violent political groups,violent groups
ACLED,"ADEMA-PASJ: Alliance for Democracy in Mali - Pan-African Party for Liberty, Solidarity and Justice",political party,nonviolent political groups,nonviolent groups
ACLED,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,armed group,violent political groups,violent groups
ACLED,ADF: Allied Democratic Forces,armed group,violent political groups,violent groups
ACLED,ADFL: Alliance of Democratic Forces for Liberation,political party,nonviolent political groups,nonviolent groups
ACLED,ADFM: Amhara Democratic Force Movement,armed group,violent political groups,violent groups
ACLED,ADIN: Association for the Propagation of Islam in Niger,movements,nonviolent civilian groups,nonviolent groups
ACLED,Ado Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Adol Clan Dinka Ethnic Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,Afadi Ethnic Militia (Ghana),armed group,violent political groups,violent groups
ACLED,Afar Ethnic Militia (Ethiopia),armed group,violent political groups,violent groups
ACLED,Affa Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Afmadow Communal Militia (Somalia),armed group,violent political groups,violent groups
ACLED,AFORD: AD: Alliance for Democracy Militia,armed group,violent political groups,violent groups
ACLED,AFRC: Armed Forces Revolutionary Council,armed group,violent political groups,violent groups
ACLED,AFRC: Armed Forces Revolutionary Council (Advance Team 1),armed group,violent political groups,violent groups
ACLED,AFRC: Armed Forces Revolutionary Council (Advance Team 2),armed group,violent political groups,violent groups
ACLED,AFRC: Armed Forces Revolutionary Council (Advance Teams),armed group,violent political groups,violent groups
ACLED,"AFRC: Armed Forces Revolutionary Council (JPK, 55 and Bazzy Faction)",armed group,violent political groups,violent groups
ACLED,AFRC: Armed Forces Revolutionary Council (SAJ Faction),armed group,violent political groups,violent groups
ACLED,AFRC: Armed Forces Revolutionary Council (Superman Faction),armed group,violent political groups,violent groups
ACLED,Africa Marine Commando,military,violent political groups,violent groups
ACLED,Afrikaner Ethnic Militia (South Africa),armed group,violent political groups,violent groups
ACLED,Agaar Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Agatu Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Agege Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Agila Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Agni Ethnic Militia (Ivory Coast),armed group,violent political groups,violent groups
ACLED,Agonyar Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Agoon Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Agoumar Communal Militia (Central African Republic),armed group,violent political groups,violent groups
ACLED,AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,armed group,violent political groups,violent groups
ACLED,Aguentas Militia,armed group,violent political groups,violent groups
ACLED,Aguleri Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Agwelek Forces,armed group,violent political groups,violent groups
ACLED,AHOI: Amabolu High Operational Integrity,unknown,unknown,violent groups
ACLED,Ahrar Party (Hemeida Faction),political party,nonviolent political groups,nonviolent groups
ACLED,AIAI: Al-Itihad Al-Islamia,armed group,violent political groups,violent groups
ACLED,Ajang Clan Dinka Ethnic Militia (South Sudan),armed group,violent political groups,violent groups
ACLED,Ajdabiya Border Division,armed group,violent political groups,violent groups
ACLED,Ajdabiya Martyrs Brigade,armed group,violent political groups,violent groups
ACLED,Ajdabiya RevolutionariesShura Council,armed group,violent political groups,violent groups
ACLED,Ajnad Misr,armed group,violent political groups,violent groups
ACLED,Ajuran Ethnic Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Ajuran-Hawiye Sub-Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Akan Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Akorino Sect Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Akungba Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Al Farouq Brigade,armed group,violent political groups,violent groups
ACLED,Al Furqan Battalion,armed group,violent political groups,violent groups
ACLED,Al Hasawna Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Al Hijra Muslim Youth Centre Militia,armed group,violent political groups,violent groups
ACLED,Al Jihad,armed group,violent political groups,violent groups
ACLED,Al Mourabitoune Battalion,armed group,violent political groups,violent groups
ACLED,Al Qaeda,armed group,violent political groups,violent groups
ACLED,Al Qaqa Brigade,armed group,violent political groups,violent groups
ACLED,Al Shabaab,armed group,violent political groups,violent groups
ACLED,Al Taaysha Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Al Ziyud Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Al-Barasa Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Al-Bla'za Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Al-Blaza Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Al-Falata Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Al-Fateh Al-Jaded Party,political party,nonviolent political groups,nonviolent groups
ACLED,Al-Gamaa al-Islamiyya,armed group,violent political groups,violent groups
ACLED,Al-Gamir Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Al-Kanni Brigade,armed group,violent political groups,violent groups
ACLED,Al-Muhaajiriin,armed group,violent political groups,violent groups
ACLED,Al-Qantrar Ethnic Militia (Libya),armed group,violent political groups,violent groups
ACLED,Al-Rashiydah Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Al-Ruayah Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Al-Saada Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,Al-Shabiba Al-Islamiyah,armed group,violent political groups,violent groups
ACLED,Al-Sunna wal Jamma Militia,armed group,violent political groups,violent groups
ACLED,Al-Takfir wal Hijrah,armed group,violent political groups,violent groups
ACLED,Aladja Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Alago Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Alakuko Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Alavanyo Ethnic Militia (Ghana),armed group,violent political groups,violent groups
ACLED,Alhaji Ardo Militia,armed group,violent political groups,violent groups
ACLED,Ali Hassan Al-Jabar Brigade,armed group,violent political groups,violent groups
ACLED,Ali Jibrail Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Ali Saleban Clan Militia (Somalia),armed group,violent political groups,violent groups
ACLED,Alikalia Militia,armed group,violent political groups,violent groups
ACLED,Alimitambo Communal Militia (Malawi),armed group,violent political groups,violent groups
ACLED,ALIR: Army for the Liberation of Rwanda,armed group,violent political groups,violent groups
ACLED,Alkamba Ethnic Militia (Central African Republic),armed group,violent political groups,violent groups
ACLED,Alliance of Rebel Groups,armed group,violent political groups,violent groups
ACLED,Alngamba Ethnic Militia (Central African Republic),armed group,violent political groups,violent groups
ACLED,ALP: All Liberian Party,political party,nonviolent political groups,nonviolent groups
ACLED,ALPC: Alliance for the Liberation of Congolese People,armed group,violent political groups,violent groups
ACLED,ALPC: Cameroonian Peoples Liberation Army,military,violent political groups,violent groups
ACLED,ALPCU: Armed Liberation United Congolese people,armed group,violent political groups,violent groups
ACLED,Alur Ethnic Militia (Democratic Republic of Congo),armed group,violent political groups,violent groups
ACLED,Alur Ethnic Militia (Uganda),armed group,violent political groups,violent groups
ACLED,Amadi Ama-Okrika Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Amagu Communal Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Amai Ethnic Militia (Nigeria),armed group,violent political groups,violent groups
ACLED,Amani Coalition,political party,nonviolent political groups,nonviolent groups
ACLED,Amarkoke Ethnic Militia (Kenya),armed group,violent political groups,violent groups
ACLED,Ambororo Ethnic Militia (Sudan),armed group,violent political groups,violent groups
ACLED,AMCU: Association of Mineworkers and Construction Union,movements,nonviolent civilian groups,nonviolent groups
ACLED,Amhara Ethnic Militia (Ethiopia),armed group,violent political groups,violent groups
ACLED,Amhara Tegadlo,armed group,violent political groups,violent groups
ACLED,AMIS: African Union Mission in Sudan (2004-2007),peacekeepers,violent political groups,violent groups
ACLED,AMISOM: African Union Mission in Somalia (2007-),peacekeepers,violent political groups,violent groups
ACLED,AMISOM: African Union Mission in Somalia (2007-) (Burundi),peacekeepers,violent political groups,violent groups
